Bank,Fiscal Year,Total IB fees,Market Share %,Net Interest Income,Non interest income,Total Revenue,Total non-interest expense,Net Income,Total Assets,Total Liabilities,IB fees as a % of net revenue,IB fees as a % of non-interest income,
GS,2020,"$9,141,000,000.00 ",,"$4,751,000,000.00 ","$39,809,000,000.00 ","$44,560,000,000.00 ","$28,983,000,000.00 ","$15,577,000,000.00 ","$1,163,028,000,000.00 ","$1,163,028,000,000.00 ",Na ,NA ,
GS,2019,"$6,798,000,000.00 ",,"$4,362,000,000.00 ","$32,184,000,000.00 ","$36,546,000,000.00 ","$24,898,000,000.00 ","$11,648,000,000.00 ","$992,968,000,000.00 ","$992,968,000,000.00 ",Na ,NA ,
GS,2018,"$7,430,000,000.00 ",,"$4,362,000,000.00 ","$32,849,000,000.00 ","$37,211,000,000.00 ","$23,461,000,000.00 ","$13,750,000,000.00 ","$931,796,000,000.00 ","$931,796,000,000.00 ",Na ,NA ,
GS,2017,"$7,076,000,000.00 ",,"$3,767,000,000.00 ","$29,798,000,000.00 ","$33,565,000,000.00 ","$20,941,000,000.00 ","$12,624,000,000.00 ","$916,776,000,000.00 ","$916,776,000,000.00 ",Na ,NA ,
JPM,2021,"$13,216,000,000.00 ",,"$52,311,000,000.00 ","$69,338,000,000.00 ","$121,649,000,000.00 ","$71,343,000,000.00 ","$50,306,000,000.00 ","$3,743,567,000,000.00 ","$3,743,567,000,000.00 ",Na ,$0.11 ,
JPM,2020,"$9,486,000,000.00 ",,"$54,563,000,000.00 ","$65,388,000,000.00 ","$119,951,000,000.00 ","$66,656,000,000.00 ","$53,295,000,000.00 ","$3,384,757,000,000.00 ","$3,384,757,000,000.00 ",Na ,NA ,
JPM,2019,"$7,501,000,000.00 ",,"$57,245,000,000.00 ","$58,475,000,000.00 ","$115,720,000,000.00 ","$65,269,000,000.00 ","$50,451,000,000.00 ","$2,687,379,000,000.00 ","$2,687,379,000,000.00 ",Na ,NA ,
JPM,2018,"$7,550,000,000.00 ",,"$55,059,000,000.00 ","$53,970,000,000.00 ","$109,029,000,000.00 ","$63,394,000,000.00 ","$45,635,000,000.00 ","$2,622,532,000,000.00 ","$2,622,532,000,000.00 ",Na ,NA ,
JPM,2017,"$7,412,000,000.00 ",,"$50,097,000,000.00 ","$50,608,000,000.00 ","$100,705,000,000.00 ","$59,515,000,000.00 ","$41,190,000,000.00 ","$2,533,600,000,000.00 ","$2,533,600,000,000.00 ",Na ,NA ,
RBC Bank,2017,"1,947",17%," 20,178.00 "," 17,646.75 "," 37,824.75 "," 8,601.75 "," 16,345.50 "," 909,639.75 "," 853,818.75 "," 55,821.00 ",0.0514742331,0.1103319308
,2018,668,16.80%," 13,643.52 "," 18,532.60 "," 32,176.12 "," 9,447.56 "," 17,353.08 "," 1,014,397.84 "," 953,632.04 "," 60,765.80 ",0.0207607381,0.0360445917
,2019,1698,16.50%," 15,001.34 "," 19,941.78 "," 34,943.12 "," 9,776.81 "," 18,335.98 "," 1,085,419.03 "," 1,021,897.48 "," 63,521.55 ",0.0485932578,0.0851478706
,2020,1757,16.60%," 15,628.33 "," 19,762.13 "," 35,390.47 "," 8,578.89 "," 18,570.98 "," 1,218,573.45 "," 1,168,098.45 "," 50,475.01 ",0.0496461362,0.0889073997
,2021,"2,559",17%," 16,153.62 "," 23,978.45 "," 40,132.07 "," 12,929.88 "," 19,183.76 "," 1,374,613.81 "," 1,295,051.14 "," 79,562.67 ",0.0637644708,0.1067208193
Deutsche Bank,2017,2985,," 12,749.34 "," 25,435.85 "," 38,185.19 ", 512.94 ," 25,435.85 "," 1,518,973.96 "," 1,448,831.99 "," 70,141.97 ",0.0781716681,0.1173540495
,2018,2565,," 14,966.32 "," 26,616.50 "," 41,582.83 ", (833.86)," 26,616.50 "," 1,529,461.43 "," 1,451,479.30 "," 77,982.13 ",0.0616841156,0.0963687775
,2019,2137,," 16,056.08 "," 10,996.00 "," 27,052.09 "," (6,447.42)"," 29,283.75 "," 907,475.19 "," 1,515,423.70 "," (607,948.51)",0.0789957536,0.1943433128
,2020,2262,," 13,485.42 "," 14,628.51 "," 28,113.93 ", 730.08 ," 24,822.72 ","1,162,152"," 1,477,783.71 "," (315,632.07)",0.0804583351,0.1546295556
,2021,3380.24,," 12,939.80 "," 16,535.80 "," 29,475.60 "," 2,911.60 "," 24,945.80 "," 1,183,326.44 "," 1,456,915.92 "," (273,589.48)",0.1146792601,0.2044195019
BANK OF AMERICA NA,2021," $8,887.00 ",," $42,934.00 ","$46,179.00 ","$89,113.00 ","$31,978.00 ","$59,731.00 ","$3,169,495.00 ","$2,899,429.00 ","$270,066.00 ",$0.10 ,
BANK OF AMERICA NA,2020," $7,180.00 ",," $43,360.00 ","$42,168.00 ","$85,528.00 ","$17,894.00 ","$55,213.00 ","$2,819,627.00 ","$2,546,703.00 ","$5,366,330.00 ","$(2,819,627.00)",
BANK OF AMERICA NA,2019," $5,642.00 ",," $48,891.00 ","$42,353.00 ","$91,244.00 ","$27,430.00 ","$54,900.00 ","$2,434,079.00 ","$2,169,269.00 ","$4,603,348.00 ","$(2,434,079.00)",
BANK OF AMERICA NA,2018," $5,327.00 ",," $48,162.00 ","$42,858.00 ","$91,020.00 ","$28,147.00 ","$53,154.00 ","$2,325,246.00 ","$2,060,498.00 ","$4,385,744.00 ","$(2,325,246.00)",
BANK OF AMERICA NA,2017," $6,011.00 ",," $45,239.00 ","$41,887.00 ","$87,126.00 ","$18,232.00 ","$54,517.00 ","$2,268,633.00 ","$1,997,344.00 ","$4,265,977.00 ","$(2,268,633.00)",
Morgan Stanley,2021,10994,," $9,411.00 ",NA ,"$59,755.00 ","$15,034.00 ","$40,083.00 ","$1,188,140.00 ","$1,081,542.00 ","$2,269,682.00 ",NA ,
Morgan Stanley,2020,7674,," $10,162.00 ",NA ,"$48,757.00 ","$10,996.00 ","$33,578.00 ","$1,115,862.00 ","$1,012,713.00 ","$2,128,575.00 ",NA ,
Morgan Stanley,2019,,,,NA,41538,9042,30076,895429,812732,1708161,NA,
Morgan Stanley,2018,,," $13,892.00 ",NA,40107,8222,NA,853531,772125,1625656,NA,
Morgan Stanley,2017,,,,NA,37945,5588,NA,851733,737772,1589505,NA,
