Bank,Fiscal Year,Total IB fees,Market Share %,Net Interest Income,Non interest income,Total Revenue,Total non-interest expense,Net Income,Total Assets,Total Liabilities,IB fees as a % of net revenue,IB fees as a % of non-interest income,,
,2019,1698,16.50%," 14,614.26 "," 19,427.22 "," 34,041.48 "," 9,524.54 "," 17,862.86 "," 1,057,411.90 "," 995,529.40 ",  ,-1057411.9,0.0874031385,
,2020,1757,16.60%," 15,417.90 "," 19,496.04 "," 34,913.94 "," 8,463.38 "," 18,320.92 "," 1,202,165.52 "," 1,137,957.94 ",  ,-1202165.52,0.0901208656,
,2021,"2,559",17%," 14,801.48 "," 21,971.34 "," 36,772.82 "," 11,877.00 "," 19,183.76 "," 1,262,679.02 "," 1,189,595.14 ",  ,-1262679.02,0.1164699103,
Deutsche Bank,2017,,," 12,378.00 "," 14,070.00 "," 26,448.00 ", 498.00 ,," 1,474,732.00 "," 1,406,633.00 ",  ,,,
,2018,,," 13,192.00 "," 12,124.00 "," 25,316.00 ", (735.00)," 23,461.00 "," 1,348,137.00 "," 1,279,400.00 ",  ,,,
,2019,,," 13,749.00 "," 9,416.00 "," 23,165.00 "," (5,521.00)"," 25,076.00 "," 777,081.00 "," 1,297,674.00 "," (520,593.00)",,,
,2020,,," 11,526.00 "," 12,503.00 "," 24,029.00 ", 624.00 ," 21,216.00 ","993,292"," 1,263,063.00 "," (269,771.00)",,,
,2021,,," 11,155.00 "," 14,255.00 "," 25,410.00 "," 2,510.00 "," 21,505.00 "," 1,020,109.00 "," 1,255,962.00 "," (235,853.00)",,,
BANK OF AMERICA NA,2021," $8,887.00 ",," $42,934.00 "," $46,179.00 "," $89,113.00 "," $31,978.00 "," $59,731.00 "," $3,169,495.00 "," $2,899,429.00 "," $270,066.00 ",10%,19%,
BANK OF AMERICA NA,2020," $7,180.00 ",," $43,360.00 "," $42,168.00 "," $85,528.00 "," $17,894.00 "," $55,213.00 "," $2,819,627.00 "," $2,546,703.00 "," $5,366,330.00 ",-281962700%,818595700%,
BANK OF AMERICA NA,2019," $5,642.00 ",," $48,891.00 "," $42,353.00 "," $91,244.00 "," $27,430.00 "," $54,900.00 "," $2,434,079.00 "," $2,169,269.00 "," $4,603,348.00 ",-243407900%,703742700%,
BANK OF AMERICA NA,2018," $5,327.00 ",," $48,162.00 "," $42,858.00 "," $91,020.00 "," $28,147.00 "," $53,154.00 "," $2,325,246.00 "," $2,060,498.00 "," $4,385,744.00 ",-232524600%,671099000%,
BANK OF AMERICA NA,2017," $6,011.00 ",," $45,239.00 "," $41,887.00 "," $87,126.00 "," $18,232.00 "," $54,517.00 "," $2,268,633.00 "," $1,997,344.00 "," $4,265,977.00 ",-226863300%,653461000%,
,,,,,,,,,,,,,,
Morgan Stanley,2021,10994,," $9,411.00 ",," $59,755.00 "," $15,034.00 "," $40,083.00 "," $1,188,140.00 "," $1,081,542.00 "," $2,269,682.00 ",,,
Morgan Stanley,2020,7674,," $10,162.00 ",," $48,757.00 "," $10,996.00 "," $33,578.00 "," $1,115,862.00 "," $1,012,713.00 "," $2,128,575.00 ",,,
Morgan Stanley,2019,,,,," $41,538.00 "," $9,042.00 "," $30,076.00 "," $895,429.00 "," $812,732.00 "," $1,708,161.00 ",,,
Morgan Stanley,2018,,," $13,892.00 ",," $40,107.00 "," $8,222.00 ",," $853,531.00 "," $772,125.00 "," $1,625,656.00 ",,,
Morgan Stanley,2017,,,,," $37,945.00 "," $5,588.00 ",," $851,733.00 "," $737,772.00 "," $1,589,505.00 ",,,
,,,,,,,,,,, $- ,,,
,,,,,,,,,,, $- ,,,
